case,C2_over_C1,R2_over_R1,waveform,Ti_s,pause_fraction,dt_s,PI,EII,MPtotal_Jmin,flow_residual_max_Ls,paw_consistency_max_cmH2O
compliance-dominant_high-C2,4.0,1.0,square,1.0,0.0,0.000125,0.6854182685830185,0.3708365371660369,3.5800925915728747,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,1.0,0.2,0.004,0.6988681593393031,0.39773631867860615,4.083549428758149,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,1.0,0.2,0.002,0.6989412901946671,0.3978825803893342,4.097168135485701,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,1.0,0.2,0.001,0.6989775400234286,0.3979550800468573,4.103997943687146,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,1.0,0.2,0.0005,0.6989955867753317,0.3979911735506633,4.107417977035044,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,1.0,0.2,0.00025,0.6990045907020132,0.3980091814040263,4.109129277968807,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,1.0,0.2,0.000125,0.699009087814405,0.3980181756288099,4.109985249744503,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,1.5,0.0,0.004,0.7241871934270183,0.4483743868540366,2.841120983288338,3.3306690738754696e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,1.5,0.0,0.002,0.7242182321123732,0.4484364642247465,2.8455982045173993,3.3306690738754696e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,1.5,0.0,0.001,0.7242337891897684,0.44846757837953677,2.847838435093953,3.3306690738754696e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,1.5,0.0,0.0005,0.7242415770994959,0.44848315419899176,2.848958955374391,3.3306690738754696e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,1.5,0.0,0.00025,0.7242454733893208,0.4484909467786415,2.8495193167628567,3.885780586188048e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,1.5,0.0,0.000125,0.7242474221170028,0.4484948442340055,2.8497995227691817,3.885780586188048e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,1.5,0.2,0.004,0.7492186017660203,0.49843720353204074,3.204534975099339,3.885780586188048e-16,1.7763568394002505e-15
